time_step,bus_id,vm_pu,is_attacked
0,0,0.9479999820220922,0
0,1,0.962214762248628,0
0,2,0.972776695879663,0
0,3,1.0040949656366172,0
0,4,1.003668638048999,0
0,5,0.9894061066672516,0
0,6,0.9992278324475835,0
0,7,1.014657071541603,0
0,8,1.0446601360755685,0
0,9,1.0477050170245135,0
0,10,0.9827428904040588,0
0,11,0.9785955560974229,0
0,12,0.9726510260615758,0
0,13,0.9821467400087452,0
0,14,0.9703273629408913,0
0,15,0.9822021604149352,0
0,16,0.9997922217993909,0
0,17,0.9836163920834685,0
0,18,0.9598507553050609,0
0,19,0.9629459640402591,0
0,20,0.9503617266543605,0
0,21,0.9671162167750916,0
0,22,0.9966344364740604,0
0,23,0.9819689390093415,0
0,24,1.0575867461095907,0
0,25,1.0098715020098026,0
0,26,0.9664354896819227,0
0,27,0.9672488753439132,0
0,28,0.9635284540785306,0
0,29,0.987888646709997,0
0,30,0.9756743339181,0
0,31,0.9671051606452973,0
0,32,0.9743222371822774,0
0,33,0.9914702112079881,0
0,34,0.9796568948097666,0
0,35,0.9764543376644974,0
0,36,0.9811417904415974,0
0,37,0.9560194487944995,0
0,38,0.9746199733060447,0
0,39,0.9623736577574749,0
0,40,0.9646667339513277,0
0,41,0.9919857291454897,0
0,42,0.9776306557979815,0
0,43,0.9801222778591333,0
0,44,0.984010076678595,0
0,45,1.0118287127002217,0
0,46,1.0140579892215325,0
0,47,1.019489671477383,0
0,48,1.0234160066404119,0
0,49,1.00148111605238,0
0,50,0.9677257538432388,0
0,51,0.9559945064228691,0
0,52,0.9400637623096295,0
0,53,0.9410478891316879,0
0,54,0.9530116438366277,0
0,55,0.9543543250134167,0
0,56,0.9741396650745232,0
0,57,0.9503887680305274,0
0,58,0.9827036762137709,0
0,59,0.9941683263163683,0
0,60,0.9858860125820773,0
0,61,0.9951606611271449,0
0,62,0.9685188174371138,0
0,63,0.9781058571859739,0
0,64,1.0108578200950125,0
0,65,1.0538463366871806,0
0,66,1.0254538299638274,0
0,67,1.0045068451262635,0
0,68,1.034332314358818,0
0,69,0.9859102160641666,0
0,70,0.9863299182158713,0
0,71,0.9841169206753074,0
0,72,0.9869557030168715,0
0,73,0.9557454823828279,0
0,74,0.9668928620345539,0
0,75,0.9402446210174448,0
0,76,1.00109306357965,0
0,77,1.0027997570765816,0
0,78,1.0192331533607784,0
0,79,1.033274427718066,0
0,80,0.9784720143976813,0
0,81,0.9854788382304035,0
0,82,0.9806101390081272,0
0,83,0.9786978300465665,0
0,84,0.9826690328033324,0
0,85,0.9809937469978848,0
0,86,1.012770687610362,0
0,87,0.9849743257466329,0
0,88,1.0018039671389354,0
0,89,0.982383420163159,0
0,90,0.9649369981428242,0
0,91,0.9907782747380995,0
0,92,0.9903959443453602,0
0,93,0.987522993229823,0
0,94,0.9810741873199846,0
0,95,0.9863606881852648,0
0,96,1.0145264164824523,0
0,97,1.0312368745699725,0
0,98,1.0013319686578366,0
0,99,1.017638097401726,0
0,100,0.9832456688451096,0
0,101,0.9929715448431468,0
0,102,1.0100119088592445,0
0,103,0.9692328885844702,0
0,104,0.9569332622223201,0
0,105,0.9631453321804778,0
0,106,0.9638734920977944,0
0,107,0.9721127757712769,0
0,108,0.9628261417982054,0
0,109,0.9683594248847235,0
0,110,0.9789564733413879,0
0,111,0.9793767188116148,0
0,112,0.9866963630716217,0
0,113,0.9560409991391614,0
0,114,0.9591420985011018,0
0,115,1.0066923672488703,0
0,116,0.9692761892815617,0
0,117,0.9512291066091716,0
1,0,0.9589430642897202,0
1,1,0.9626808060677083,0
1,2,0.9736606668499566,0
1,3,0.9978768410354358,0
1,4,1.0009636838086837,0
1,5,0.9939427163883696,0
1,6,0.9904032968907143,0
1,7,1.0154295443499877,0
1,8,1.0385023689803694,0
1,9,1.0543014085804585,0
1,10,0.9927453034890361,0
1,11,0.9897807978262053,0
1,12,0.9751382581276726,0
1,13,0.9855322845392134,0
1,14,0.9741957026119608,0
1,15,0.9779351619896656,0
1,16,1.0007877089088666,0
1,17,0.9777125677620867,0
1,18,0.9510586041875726,0
1,19,0.9542034478110597,0
