id,name,lat,lon
1311046733,"",50.8736175,6.1817017000000005
2370265826,"",50.745245700000005,6.165789200000001
3647464027,"",50.7819398,6.0864225
922297233,"",50.7707878,6.3037105
1691680230,"",50.765041800000006,6.0511312
1592412150,"",50.9064448,6.3581205
3545019980,"",50.789942,6.1057022000000005
323113676,"Station Schäfersgraben",50.764021,6.5225412
480318911,"",50.7262737,6.4793189
2446374270,"",50.7434169,6.170712
1691711595,"",50.763528,6.100779
1726754354,"",50.7335743,6.144053400000001
1691711594,"",50.7517573,6.097844800000001
1691680465,"",50.766819500000004,6.0543392
1737532442,"",50.7328496,6.168865200000001
2009251816,"",50.7535444,6.069245100000001
3013101735,"C- Rurdorfer Straße",50.972216100000004,6.2706987000000005
1256674530,"",50.928012200000005,6.369413000000001
9888581077,"",50.8368619,6.080901600000001
11358311988,"",50.7064212,6.0820810000000005
1357155739,"",50.7680901,6.10568
2598584958,"",50.7404315,6.08337
1662112258,"",50.769223600000004,6.0646021
2091638269,"",50.795003200000004,6.1520754
7075747259,"",50.85036040000001,6.3676567
13067092100,"",50.8928317,6.276576100000001
393330903,"1107 Heinrich-Dauer-Straße",50.811831000000005,6.500357500000001
2377342859,"",50.739858100000006,6.0557011
1256673502,"",50.9299699,6.379181600000001
1723275553,"",50.783306200000006,6.1307407000000005
1352910908,"",50.7922687,6.1638418
2950021446,"",50.6851056,6.3728106
13067092099,"",50.8898207,6.264845200000001
1604179250,"",50.77458,6.105752900000001
1603846440,"",50.649137200000006,6.0021092000000005
1309318482,"",50.8126722,6.0690045
1694425822,"",50.756600500000005,6.0588669
1282001613,"",50.776518200000005,6.1000245
331738076,"",50.7327719,6.4819288
1725879079,"",50.723248700000006,6.1540309
333738345,"Station Feuerwehrhaus",50.74923080000001,6.4205059
2213511140,"",50.771941700000006,6.090204600000001
1352910912,"",50.7932848,6.1660795
1792797851,"",50.7883894,6.111188
2329966176,"",50.7582828,6.1300773
1251683629,"",50.747544700000006,6.114067400000001
763426816,"",50.788429400000005,6.325184800000001
2506502030,"",50.7247974,6.1927602
1311046728,"",50.8811236,6.1689197
1256673501,"",50.9300578,6.3825237
2362409324,"",50.751403800000006,6.143311300000001
2394477802,"",50.7641696,6.149439200000001
3624586504,"",50.7902731,6.088907900000001
393331118,"",50.821683,6.518515900000001
1318577655,"",50.7633195,6.0955202
1357039268,"",50.754756,6.1313816
1967491953,"",50.792903800000005,6.1208277
1252766591,"",50.675187300000005,6.350640500000001
2352156378,"",50.7796013,6.076411800000001
2339818121,"",50.7639812,6.140126400000001
2081528739,"",50.801086700000006,6.0941099
1737532060,"",50.6864378,6.1729735
1803341258,"",50.7913897,6.1152559
1394585243,"",50.7406336,6.157415500000001
1266918614,"",50.7771599,6.098109600000001
2418310236,"",50.742746800000006,6.157798400000001
1723275544,"",50.7813576,6.1354004
2293037250,"",50.7102553,6.1379865
1488908770,"",50.7330273,5.966540500000001
1593625688,"",50.8015478,6.0559652
321380019,"",50.707621,6.3761258000000005
885960609,"",50.8171388,6.264225400000001
1662111655,"",50.761344,6.0632033000000005
1662111690,"",50.7656001,6.0719263
333123707,"Station Richelnberg",50.7404627,6.4791669
1328871011,"",50.781042600000006,6.048868400000001
1358066875,"",50.7886984,6.2101876
1377829647,"",50.792449500000004,6.0754292
1394585255,"",50.74765,6.161478600000001
1543024359,"",50.797300500000006,6.0538113000000005
1700705499,"",50.755089100000006,6.053525700000001
1702406230,"",50.753803000000005,6.104008100000001
1992219092,"",50.799819600000006,6.129582
1277093615,"",50.6944517,6.195830900000001
2468144842,"",50.74167550000001,6.1704236
2290866753,"",50.7092741,6.180998000000001
1322547332,"",50.783229000000006,6.0868221
1358066862,"",50.775096100000006,6.188291400000001
1475061827,"",50.7738409,6.071562200000001
1803341234,"",50.790108000000004,6.1129312
393721875,"Girbelsrather Straße n.Hs. 182",50.8085924,6.5087614
1254094330,"",50.6529357,6.2758083000000005
2293037214,"",50.7020654,6.1532938
737843425,"",50.7932482,6.3076428
2592814559,"",50.8033573,6.0770152
2598584985,"",50.741676600000005,6.090246100000001
1722262784,"",50.7829777,6.1000648
4984936164,"",50.787282600000005,6.0677344
7551676496,"",50.7717539,6.1213398
1363519604,"",50.7533455,6.145150500000001
9312532644,"",50.7760904,6.067604200000001
2235191565,"",50.707877200000006,6.1801013000000005
2348398382,"",50.768543,6.1340604
2400934820,"",50.758603300000004,6.170711600000001
1289453046,"",50.7633012,6.151167900000001
11329001082,"",50.6935378,6.0853611
11662796037,"",50.898566200000005,5.9543923
333105918,"Station Ofenskaul",50.7340767,6.476188400000001
1311046720,"",50.8638726,6.1917819000000005
2046233145,"",50.799543,6.111004
1269278230,"",50.7840471,6.0905253
1358066887,"",50.811069700000004,6.1970114
1704573001,"",50.747653500000006,6.0670934
2239338565,"",50.702297900000005,6.169369400000001
4985372556,"",50.792534,6.0667941
1708954568,"",50.74837470000001,6.0739127
11257414640,"",50.619977000000006,6.0906246
1277070944,"",50.695895900000004,6.1849803
318109177,"Station Kindergarten",50.7019401,6.4104353000000005
907352214,"",50.810979,6.2556006
1747136057,"",50.768497700000005,6.1155236
325794017,"Station Extra",50.719614400000005,6.3933562
1315482448,"",50.7581174,6.1011096
2369698937,"",50.760597800000006,6.169292400000001
13299151144,"",50.965524900000005,6.400652200000001
331738212,"Station Bildergarten",50.7367228,6.4829053000000005
1252253567,"",50.665088100000006,6.289484300000001
434427982,"",50.9627059,6.544486
393331229,"",50.807394800000004,6.5046505
360361111,"",50.987912,6.5490379
1358066872,"",50.7757395,6.1099703000000005
321385762,"Station Schäfergasse",50.7219853,6.3936774000000005
1673123728,"",50.73905370000001,5.995249500000001
1743689129,"",50.7837297,6.108672100000001
2239338535,"",50.7012664,6.171099600000001
729476339,"",50.821453500000004,6.2307667
2592818757,"",50.7947788,6.0932469000000005
323076659,"Station See Straße",50.717603000000004,6.446839300000001
9888581069,"",50.836664600000006,6.0802901
11283957776,"",50.710743400000005,6.0929127
11930160645,"",50.7909597,6.096653900000001
2537099547,"",50.745609900000005,6.226448
13067092071,"",50.9881486,6.2691787
1844586054,"",50.779260900000004,6.1563907
9107881386,"",50.7922662,6.5707962
1308306507,"",50.7384817,6.0428017
1769011028,"",50.6976572,6.144238700000001
2331109188,"",50.765321400000005,6.126461600000001
295014950,"",50.921920300000004,6.406368400000001
1576222397,"",50.743565600000004,6.0861993000000005
2369698920,"",50.756506400000006,6.1701727
1272480573,"",50.796623800000006,5.991070000000001
1350474557,"",50.7872087,6.102250700000001
1743648580,"",50.7674528,6.120492100000001
2290866789,"",50.7097246,6.1809763
12055608649,"",50.787188,6.1561988
1395286917,"",50.75090590000001,6.1590983
1779143997,"",50.778617600000004,6.1228305
728474211,"",50.815187800000004,6.2618233000000005
1359866126,"",50.7673714,6.1609688
10315366640,"",50.727206900000006,6.0448113
1256674531,"",50.9248989,6.365799600000001
1287459739,"Lütticher Str. (578)",50.730940600000004,6.0407995
706308731,"",50.787632800000004,6.2799204
1357474720,"",50.6922392,6.3583639000000005
1326883159,"",50.7686641,6.0782384
1737532647,"",50.7653593,6.1231154000000005
1358066879,"",50.80469,6.1554354
1829176456,"",50.7722387,6.1544156
1322838758,"",50.755647700000004,6.1003620000000005
2290866845,"",50.7104462,6.1802584000000005
2339818105,"",50.7620044,6.1384240000000005
1671711229,"",50.749637500000006,6.0606236
1999369632,"",50.7999748,6.1290363
1308306506,"",50.7405793,6.0425018
1420362597,"",50.725038700000006,6.0025348
2271585548,"",50.9299222,6.3825931
2402868921,"",50.7668334,6.1548837
2468144834,"",50.735044200000004,6.1854668
2506502031,"",50.7270569,6.1881993
1610724783,"",50.7580746,6.1061589000000005
2290866719,"",50.7060922,6.1801288
2506502258,"",50.749431900000005,6.1758829
1394585242,"",50.736055900000004,6.161004200000001
1702406238,"",50.754819100000006,6.104137700000001
1286929950,"",50.800913900000005,6.0945681
1769011041,"",50.779659200000005,6.119189400000001
1363068219,"",50.746067800000006,6.0882066
1838175326,"",50.767842300000005,6.1264646
1966768608,"",50.796354,6.1008844
332575269,"Station Auf dem Hügel 1",50.73939,6.4612917
1395286921,"",50.753547700000006,6.151877900000001
1309535313,"",50.737863600000004,6.090665700000001
1325658617,"",50.767466500000005,6.099588000000001
1708954593,"",50.758030700000006,6.062813500000001
387849796,"",50.985008500000006,6.514937300000001
1619317628,"",50.7634337,6.073952800000001
2356682264,"",50.706236000000004,6.1781861000000005
759350575,"",50.814573700000004,6.2730386000000005
2036170017,"",50.7686701,6.07599
2330001448,"",50.75630030000001,6.1307121
2409292126,"",50.751777600000004,6.156113700000001
13067161217,"",50.9443483,6.3656101000000005
2349974307,"",50.750377,6.1434667
1281138847,"",50.764359000000006,6.093885500000001
1360199930,"",50.7480726,6.188272100000001
1810481085,"",50.7947524,6.1090632000000005
1838175574,"",50.782468800000004,6.1460596
2046233132,"",50.7930172,6.1315151000000006
1313101669,"",50.7464451,5.9905379000000005
