id,name,lat,lon,is_substation,is_transformer_node,voltage
2428614508,"",50.751195,6.153305400000001,true,false,""
1365385077,"",50.6544612,6.2771685,true,false,""
5491936107,"",50.62098,6.036507500000001,false,true,""
1326883159,"",50.7686641,6.0782384,true,false,""
1931288435,"",50.79451400000001,6.1102194,true,false,""
393331229,"",50.807394800000004,6.5046505,true,false,""
5650516436,"",50.6191521,6.0431737000000005,false,true,""
7640486906,"",50.7471782,6.2448163,false,true,""
3624586504,"",50.7902731,6.088907900000001,true,false,""
10704274515,"",50.8111643,6.2657062,false,true,""
2082111307,"",50.795952500000006,6.1520248,true,false,""
1868200566,"",50.7913374,6.202135200000001,false,true,""
1311046733,"",50.8736175,6.1817017000000005,true,false,""
1619317628,"",50.7634337,6.073952800000001,true,false,""
1252253567,"",50.665088100000006,6.289484300000001,true,false,""
3647464027,"",50.7819398,6.0864225,true,false,""
5642262559,"",50.6206888,6.0510506,false,true,"15000;400"
10703906187,"",50.833121500000004,6.1264729,false,true,""
323074085,"",50.6900568,6.3551038,true,false,""
1478118503,"",50.723493100000006,6.0259786,true,false,""
10170496453,"",50.7709215,6.086192700000001,false,true,""
2598584985,"",50.741676600000005,6.090246100000001,true,false,""
2537099547,"",50.745609900000005,6.226448,true,false,""
1297045781,"",50.821256600000005,6.0719545,true,false,""
1313101669,"",50.7464451,5.9905379000000005,true,false,""
9726256196,"",50.640039300000005,6.270678500000001,false,true,""
1868200554,"",50.791304200000006,6.201818500000001,false,true,""
12043001068,"",50.976781200000005,6.224053400000001,false,true,""
1365416409,"",50.6488991,6.2722148,true,false,""
321261461,"Station Brandenberger Weg",50.712216500000004,6.3822609,true,false,""
1576222397,"",50.743565600000004,6.0861993000000005,true,false,""
2213511140,"",50.771941700000006,6.090204600000001,true,false,""
12086212986,"",50.9379318,6.2688743,false,true,""
2446374270,"",50.7434169,6.170712,true,false,""
3118132933,"",50.837141800000005,6.3216405,false,true,""
1803341258,"",50.7913897,6.1152559,true,false,""
10240168754,"",50.8297705,6.302029800000001,false,true,""
13067092071,"",50.9881486,6.2691787,true,false,""
5323864559,"",50.618130300000004,6.035865800000001,false,true,""
1304736268,"",50.8214327,6.373100600000001,false,true,""
5446097618,"",50.6204417,6.0643788,false,true,"15000"
1425149345,"",50.8146016,6.1142522,true,false,""
4985372556,"",50.792534,6.0667941,true,false,""
1722262784,"",50.7829777,6.1000648,true,false,""
393331118,"",50.821683,6.518515900000001,true,false,""
1488908770,"",50.7330273,5.966540500000001,true,false,""
2288457211,"",50.775324600000005,6.094774800000001,true,false,""
3780463958,"",50.772019300000004,6.0388326,true,false,""
13067161212,"",50.942038700000005,6.365181300000001,true,false,""
393331145,"Station Akazienstraße",50.8227035,6.5217045,true,false,""
1318593250,"",50.7649113,6.0962177,true,false,""
728474211,"",50.815187800000004,6.2618233000000005,true,false,""
1592415628,"",50.917074500000005,6.3613584,true,false,""
1966767323,"",50.788233500000004,6.116861500000001,true,false,""
1332046180,"",50.7231509,6.116217000000001,true,false,"20000;400"
1866483853,"",50.783704500000006,6.1520285,true,false,""
