id,node_ids,is_power_line,is_power_transformer_way,length_km,voltage
1086615739,"9956393646;9956393647;3871605601",true,false,0.03995253305383339,"110000"
1150692038,"10704248382;10704248383;10704248384",true,false,0.012480800577830938,"110000"
80130034,"1026552362;1026552372;934809542;1093469336;1093469570;2741721293;1093469499;934809551;1026552380;934809546",true,false,2.7723817759476828,"110000"
909772784,"8447141841;8447141842",true,false,0.015320546463980948,"110000"
1119544048,"10239765766;10239765767;10239765768;10239765769;10239765770;10239765771;10239765772;11741245436;11741245437;11741245435",true,false,0.29658905717628853,"380000"
1119597532,"10240168716;10240168717;10240168718;10240168719;277101610",true,false,0.3221699054560375,"110000"
473785976,"1304247439;4678302982;4678302981",true,false,0.1628580317480879,"110000"
1151325262,"1045022132;10710776388;13296126857",true,false,0.021524166431206013,"110000"
1449595346,"13296126857;10710776389",true,false,0.01391037511259665,"110000"
88061756,"10239765639;291643873",true,false,0.21876684819856182,"380000"
1151325274,"10710824721;10710824722;10710824723",true,false,0.019328334941184393,"110000"
143069425,"292431364;292431365",true,false,0.4267673662830639,"380000"
1119606390,"10240227979;10240227980;10240227981;10240227982;10240227983",true,false,0.039331011091466826,"110000"
1151325228,"10710776323;10710776328;10710776326;10710776341;10710776345;10710776332;10710776349;10710776346;10710776336;10710776324",true,false,0.05510728733297825,"110000"
1086615746,"9956393668;9956393684;9956393677;9956393679;9956393669",true,false,0.039655927826362736,"110000"
118416314,"1331987052;2378798391;1105781408;1331987061",true,false,0.046572617539315686,"110000"
1150803279,"1044936547;1044936502;1044936614",true,false,0.07420242729691746,"110000"
1151325230,"10710776331;10710776332;10710776333;10710776334",true,false,0.038342432995413615,"110000"
865957053,"8071414176;8071414174;8071414185;8071414177",true,false,0.02361950829840317,"110000"
1300426305,"12045197316;12045197317",true,false,0.016673946740195823,"110000"
328375713,"3351977829;3351977831;3351977832;3351977830;3351977829",false,true,0.010496112945385218,""
870598501,"2269888182;10239762505;10239765609;10239765633;8109833677;10239765657;10239765658;10239765740;10239765659",true,false,0.19941190713744172,"380000"
115432976,"1304247424;9956393634;204742784",true,false,0.051569194364576076,"110000"
95346139,"1105781242;1105781369;1105781275;1105781420;1105781220;1105781429;1105781251;1105781310;1105781461;1105781396;1105781222;1105781432;1105781254;1105781435;1105781287;1105781401;1105781257;1105781319;1105781225;1105781279;1105781464;1105781217",true,false,6.238947734313843,"110000"
1151325240,"10710776347;323105410;10710776346",true,false,0.02719549906655476,"110000"
1088085417,"292431323;9969345653",true,false,0.044463105670450864,"110000"
60980061,"387696221;473635660;479810054;479810043;479810036;479810032;479809960",true,false,1.5014489034306495,"110000"
88314369,"1025763528;10705300731;10705300735;10705300740;1025763531;10705300742;1025763414;1025763461",true,false,0.058513311063847856,"110000"
1300426306,"12045197318;12045197319",true,false,0.019795687189090385,"110000"
1086615736,"10704248380;9956393638;9956393639;9956393640",true,false,0.01875308796715038,"110000"
215601262,"1044936474;1420033389;8071595622;8071595623;8071595620",true,false,0.049040252030971385,"110000"
1151325239,"10710776350;10710776348;10710776349",true,false,0.026950129670802264,"110000"
1119544052,"10239765790;10239765791;10239765792;10239765793;10239765794;10239765795",true,false,0.06540723997548448,"110000"
1151325234,"10710776342;10710776343;10710776344;10710776345",true,false,0.05095941038030546,"110000"
287026400,"1376135133;1383005381;1383005370;1383005374;1383005367;7518090093;1383005391;1383005376;1211842493;1211842661;1445777335;1211842329;1211842638;1207484491;1207484464;1207484497;1207484463;1207484506;1207484482;1207484454;1207484512;1207484438;1207484495;1207484458;1207484468;1207484523;6343934175;6343934174;1207484471;1207484447;6343934173;1207484451;1207484474;1207484448",true,false,6.7998053224296555,"70000"
1151325248,"10710776374;10710776375;10710776376",true,false,0.03770374406089692,"110000"
1151325264,"288989994;10710776393;10710776394",true,false,0.016930401278956803,"110000"
1088085422,"7857081376;9969345669;9969345670;9969345671",true,false,0.024967793538160553,"110000"
229258796,"2378798229;2378798234;2378798236",true,false,0.05035727919264112,"380000"
1248857250,"1304247397;11608125498",true,false,0.05006408869107013,"110000"
1300531688,"4951587993;4951587991;10704248402",true,false,0.03695218313863059,"110000"
1088085416,"934809536;9969345672;9969345650",true,false,0.02545201054770464,"110000"
83641962,"974008553;291644102",true,false,0.21188855533939374,"110000"
1449967805,"13299015837;13299015838;13299015839;13299015850;12046067049",true,false,0.03236088739206713,"110000"
115808255,"1307334596;10240168790;10240168791;1307334588;277101675",true,false,0.2973337571079281,"110000"
19780630,"206090448;206090449;206090450;1095036392;206090452;206090453;248609911;248609912;248610144;248610145;290875907;290875893;290875891;290875880;252294907;252284905;270877694;270675052",true,false,4.907675201788166,"110000"
115432990,"1304247479;10703906176;7857081382;267233310;7857081379;1304247386;7857099190;7857099186;7857099188;1304247478;266515035;7857081384;1304247387",true,false,0.10983921979876952,"110000"
677533916,"6343953162;6343953160",true,false,0.020886624502750663,"70000"
115569315,"291644100;291644102",true,false,0.34815723272731414,"110000"
865957060,"1091410596;8071414205;8071414206;1091410618",true,false,0.24362321004036733,"110000"
1119597535,"10240168745;10240168746;10240168747;10240168748;10240168749;10240168750;10240168751;10240168752;10240168753",true,false,0.10432501193890699,"110000"
25117860,"274973657;273477971;266622577;266622576;266622575;266622562;266622563;1305289026;266622564;266622565;266622566;266622571;266622574;270877256;270877068;270877083;251105529;270877084;270877096;270877097;270877147;270877148;270877219;252846463;254036542;266778431;270877512;270675052",true,false,5.735834913733766,"110000"
1300169467,"12043001064;12043001065;12043001066;12043001067;1026552378",true,false,0.04069038497320811,"110000"
1150692043,"8511349393;10704274506",true,false,0.023353790780342613,"110000"
1119544040,"10239765779;10239765613;10239765709;1023439156;10239765710;10239765747;10239765711",true,false,0.1756446442326855,"380000"
1119544045,"10239765738;10239765739;10239765740;10239765741;10239765742;10239765743;10239765781;10239765744;10239765745;10239765746;10239765747;10239765748;10239765749;10239765750;10239765751;10239765752;10239765753;10239765754;10239765755;10239765756;10239765757;10239765767;10239765758",true,false,0.4758999041407178,"380000"
1151325241,"10710776352;10710776353;10710776358;10710776363;10710776361;10710776370;10710776378;10710776381;10710776383;10710776375;10710776373;10710776354",true,false,0.08089251930132169,"110000"
1119597531,"10240147108;10240168709;10240168710;277101647",true,false,0.24858355776684324,"110000"
1300531687,"10704248403;1542937311;1053726703",true,false,0.03668783290482679,"110000"
104684909,"1207489751;1207489768;1207489782;1207489763;1207489752;1207489781;1207489766;1207489788;1207489772;1207489759;1207489778;1207489750;12309251694;1207489777;1207489774;1207489761;1207489779;1207489765;1207489783;1207489770;1207489756;1207489780;1303562676",true,false,6.666065238031514,""
842193679,"7857081355;7857081360;7857081354;12046067046;7857081358",true,false,0.027230094656888765,"110000"
842193683,"1307334565;7857081366",true,false,0.04774768683398053,"110000"
1119597526,"10240147087;10240168725;10240168727;10240168729;10240168731;10240168733;10240168735;10240168737;10240147088;10240147089;10240147090;10240168739;10240168747;10240168744;10240168751;10240168758;10240168721;10240168759;10240168720;10240168768;10240168713;10240168712;10240147102;10240147098;10240147091",true,false,0.2269723768635104,"110000"
1119597529,"10240147103;10240147104;10240147105;277718165",true,false,0.25105329595546033,"110000"
1119544031,"10239765683;291643896",true,false,0.13515746273486448,"380000"
